entidad_y_municipio,superficie_total_a,regimen_de_tenencia_de_la_tierra_ejidal,regimen_de_tenencia_de_la_tierra_comunal,regimen_de_tenencia_de_la_tierra_privada,regimen_de_tenencia_de_la_tierra_de_colonia,regimen_de_tenencia_de_la_tierra_publica,unidad_de_medida
Michoacan de Ocampo,3556426.732,1254083.534,136460.8452,2154913.703,148.0308,10820.6185,hectareas
Acuitzio,13430.6367,1349.748,19.2265,12060.5622,0,1.1,hectareas
Aguililla,119237.0741,41364.416,0,77858.5831,0,14.075,hectareas
alvaro Obregon,10195.6825,6750.6039,0,3417.5538,0,27.5248,hectareas
Angamacutiro,15308.2716,11273.309,4.5,4026.4626,0,4,hectareas
Angangueo,2476.8611,2075.7966,0,400.0645,0,1,hectareas
Apatzingan,88662.8358,38772.7427,737.329,49064.9308,0,87.8333,hectareas
Aporo,3617.1495,886.5822,0,2721.5673,0,9,hectareas
Aquila,70122.757,5915.8852,27862.1605,36344.7113,0,0,hectareas
Ario,48324.613,22239.7259,0,26078.8871,0,6,hectareas
Arteaga,236101.8074,53052.6941,5028.4367,176369.9331,0,1650.7435,hectareas
Briseñas,4248.3195,4126.3784,0,106.5411,0,15.4,hectareas
Buenavista,54684.0983,28717.9123,431.0164,25429.1303,0,106.0393,hectareas
Caracuaro,81071.9249,13343.812,97.6486,67615.4643,0,15,hectareas
Coahuayana,22031.846,12659.6002,1427.6674,7380.3818,144.4807,419.7159,hectareas
Coalcoman de Vazquez Pallares,215459.5682,18063.4179,981.3151,195891.8358,0,522.9994,hectareas
Coeneo,22216.5204,10295.5512,291.8491,11557.0519,0,72.0682,hectareas
Contepec,21279.7312,16057.5803,2.855,4902.9324,0,316.3635,hectareas
Copandaro,5656.6277,1253.9739,0,4400.6538,0,2,hectareas
Cotija,27780.5162,9447.2809,2259.8513,16073.384,0,0,hectareas
Cuitzeo,12204.5023,2965.2801,0,9211.7272,0,27.495,hectareas
Charapan,7309.0112,79.75,1681.753,5546.7582,0,0.75,hectareas
Charo,13259.8433,7048.7387,97.7083,6112.3963,0,1,hectareas
Chavinda,6191.1835,4778.8231,0.9091,1409.4428,0,2.0085,hectareas
Cheran,7237.591,141.1108,3864.3007,3232.1795,0,0,hectareas
Chilchota,7205.3024,426.4834,3254.5002,3524.3188,0,0,hectareas
Chinicuila,75030.477,18635.3593,4028.451,52351.6667,0,15,hectareas
Chucandiro,9301.1068,3244.7252,137.3328,5919.0488,0,0,hectareas
Churintzio,12313.86,5789.6367,117.419,6404.8043,0,2,hectareas
Churumuco,38022.6933,28649.6746,3471.2223,5901.7964,0,0,hectareas
Ecuandureo,13283.0711,7922.8253,0,5356.2458,0,4,hectareas
Epitacio Huerta,21462.0001,12220.3144,98.878,9088.9891,0,53.8186,hectareas
Erongaricuaro,12800.0115,5470.2124,1136.982,4004.8155,0,2188.0016,hectareas
Gabriel Zamora,15193.679,13576.6843,0,1616.9947,0,0,hectareas
Hidalgo,82226.5807,7778.6002,1788.6157,72592.8648,0,66.5,hectareas
La Huacana,81659.6709,65307.2356,2857.6629,13488.7725,0,5.9999,hectareas
Huandacareo,6685.952,1666.6888,0,5019.2632,0,0,hectareas
Huaniqueo,9413.1359,2399.339,24.8333,6988.9636,0,0,hectareas
Huetamo,131613.571,62787.2508,3596.564,65215.5012,0,14.255,hectareas
Huiramba,4523.9231,1246.8807,17.1167,3256.4257,0,3.5,hectareas
Indaparapeo,13063.2171,6817.3071,29.3334,6216.0766,0,0.5,hectareas
Irimbo,9186.1628,2406.6958,0,6779.467,0,0,hectareas
Ixtlan,5119.5656,4373.6234,0,732.5155,0,13.4267,hectareas
